IES,TIPO DE IES,TIPO DE GESTION,DEPARTAMENTO/REGION,SEDE (DISTRITO),PROGRAMA ACADEMICO,MODALIDAD
1,EESP PUBLICA AREQUIPA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AREQUIPA,CAYMA,EDUCACION INICIAL
2,EESP PUBLICA AREQUIPA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AREQUIPA,CAYMA,EDUCACION PRIMARIA
3,EESP PUBLICA ARISTIDES MERINO MERINO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CAJAMARCA,CELENDIN,EDUCACION FISICA
4,EESP PUBLICA ARISTIDES MERINO MERINO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CAJAMARCA,CELENDIN,EDUCACION INICIAL
5,EESP PUBLICA ARISTIDES MERINO MERINO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CAJAMARCA,CELENDIN,EDUCACION PRIMARIA
6,EESP PUBLICA ARISTIDES MERINO MERINO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CAJAMARCA,CELENDIN,"EDUCACION SECUNDARIA - ESPECIALIDAD CIENCIA, TECNOLOGIA Y AMBIENTE"
7,EESP PUBLICA ARISTIDES MERINO MERINO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CAJAMARCA,CELENDIN,EDUCACION SECUNDARIA - ESPECIALIDAD CIENCIAS SOCIALES
8,EESP PUBLICA ARISTIDES MERINO MERINO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CAJAMARCA,CELENDIN,"EDUCACION SECUNDARIA, ESPECIALIDAD COMUNICACION"
9,EESP PUBLICA ARISTIDES MERINO MERINO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CAJAMARCA,CELENDIN,"EDUCACION SECUNDARIA, ESPECIALIDAD MATEMATICA"
10,EESP PUBLICA BILINGÜE,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,UCAYALI,YARINACOCHA,EDUCACION INICIAL INTERCULTURAL BILINGÜE
11,EESP PUBLICA BILINGÜE,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,UCAYALI,YARINACOCHA,EDUCACION PRIMARIA INTERCULTURAL BILINGÜE
12,EESP PUBLICA CESAR ABRAHAM VALLEJO MENDOZA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AMAZONAS,BAGUA,EDUCACION FISICA
13,EESP PUBLICA CESAR ABRAHAM VALLEJO MENDOZA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AMAZONAS,BAGUA,EDUCACION INICIAL
14,EESP PUBLICA CESAR ABRAHAM VALLEJO MENDOZA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AMAZONAS,BAGUA,EDUCACION INICIAL INTERCULTURAL BILINGÜE
15,EESP PUBLICA CESAR ABRAHAM VALLEJO MENDOZA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AMAZONAS,BAGUA,EDUCACION PRIMARIA INTERCULTURAL BILINGÜE
16,EESP PUBLICA CESAR ABRAHAM VALLEJO MENDOZA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AMAZONAS,BAGUA,"EDUCACION SECUNDARIA, ESPECIALIDAD: MATEMATICA"
17,EESP PUBLICA CHIMBOTE,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,ANCASH,NUEVO CHIMBOTE,EDUCACION FISICA
18,EESP PUBLICA CHIMBOTE,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,ANCASH,NUEVO CHIMBOTE,EDUCACION INICIAL
19,EESP PUBLICA CHIMBOTE,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,ANCASH,NUEVO CHIMBOTE,EDUCACION PRIMARIA
20,EESP PUBLICA CHIMBOTE,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,ANCASH,NUEVO CHIMBOTE,"EDUCACION SECUNDARIA, ESPECIALIDAD: CIENCIA TECNOLOGIA Y AMBIENTE"
21,EESP PUBLICA CHIMBOTE,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,ANCASH,NUEVO CHIMBOTE,"IDIOMAS, ESPECIALIDAD: INGLES"
22,EESP PUBLICA DAVID SANCHEZ INFANTE,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,LA LIBERTAD,SAN PEDRO DE LLOC,EDUCACION INICIAL
23,EESP PUBLICA DAVID SANCHEZ INFANTE,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,LA LIBERTAD,SAN PEDRO DE LLOC,EDUCACION PRIMARIA
24,EESP PUBLICA EMILIA BARCIA BONIFFATTI,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,LIMA,CERCADO DE LIMA,EDUCACION INICIAL
25,EESP PUBLICA GAMANIEL BLANCO MURILLO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,PASCO,YANACANCHA,EDUCACION INICIAL
26,EESP PUBLICA GAMANIEL BLANCO MURILLO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,PASCO,YANACANCHA,EDUCACION PRIMARIA
